Date,Open,High,Low,Close,Adj Close,Volume
2019-11-08,52.459999,52.599998,52.090000,52.209999,50.501057,7141800
2019-11-11,52.330002,52.369999,51.779999,51.840000,50.143169,8198300
2019-11-12,51.910000,51.910000,51.580002,51.709999,50.017422,12656900
2019-11-13,52.180000,52.450001,51.959999,52.410000,50.694511,12257900
2019-11-14,52.529999,52.669998,52.349998,52.630001,50.907310,8660300
2019-11-15,52.639999,52.680000,52.380001,52.669998,50.945999,8982400
2019-11-18,52.680000,53.439999,52.669998,53.029999,51.294212,13782000
2019-11-19,53.150002,53.310001,52.869999,53.080002,51.342583,12679500
2019-11-20,53.099998,53.400002,53.009998,53.220001,51.478001,11970300
2019-11-21,53.110001,53.340000,52.779999,52.959999,51.226509,7856100
2019-11-22,52.959999,53.189999,52.750000,53.029999,51.294212,9113300
2019-11-25,53.279999,53.389999,52.770000,53.220001,51.478001,10963500
2019-11-26,53.310001,53.939999,53.220001,53.900002,52.135738,13219800
2019-11-27,53.930000,54.099998,53.599998,53.950001,52.184105,9595200
2019-11-29,53.700001,53.730000,53.220001,53.400002,52.037933,7222300
2019-12-02,53.320000,53.750000,52.849998,53.750000,52.379002,13173800
2019-12-03,53.709999,53.840000,53.400002,53.799999,52.427727,14498300
2019-12-04,53.799999,54.310001,53.720001,54.290001,52.905231,13624000
2019-12-05,54.209999,54.290001,53.830002,54.189999,52.807777,14068100
2019-12-06,54.310001,54.500000,54.169998,54.419998,53.031910,7843500
2019-12-09,54.299999,54.509998,54.020000,54.070000,52.690838,13887200
2019-12-10,54.040001,54.070000,53.730000,53.770000,52.398491,8993900
2019-12-11,53.939999,54.150002,53.660000,53.950001,52.573902,8879100
2019-12-12,54.009998,54.450001,53.939999,54.139999,52.759056,11233300
2019-12-13,53.939999,54.549999,53.840000,54.419998,53.031910,13072200
2019-12-16,54.689999,54.830002,54.369999,54.419998,53.031910,9538100
2019-12-17,54.400002,54.580002,54.290001,54.419998,53.031910,9230000
2019-12-18,54.529999,54.750000,53.889999,53.910000,52.534920,15132100
2019-12-19,54.040001,54.340000,53.919998,54.320000,52.934460,13385900
2019-12-20,54.939999,55.200001,54.470001,54.970001,53.567886,23832800
2019-12-23,55.000000,55.240002,54.840000,54.910000,53.509411,9300800
2019-12-24,54.799999,55.000000,54.639999,54.709999,53.314514,3359300
2019-12-26,54.919998,55.020000,54.790001,55.020000,53.616611,6228500
2019-12-27,55.009998,55.450001,55.000000,55.349998,53.938194,6895500
2019-12-30,55.180000,55.389999,55.060001,55.270000,53.860233,6431700
2019-12-31,55.200001,55.380001,54.980000,55.349998,53.938194,7982600
2020-01-02,55.320000,55.430000,54.759998,54.990002,53.587376,11867700
2020-01-03,54.320000,54.990002,54.090000,54.689999,53.295025,11354500
2020-01-06,54.650002,54.910000,54.520000,54.669998,53.275536,14698300
2020-01-07,54.450001,54.599998,54.150002,54.250000,52.866249,9973900
2020-01-08,54.270000,54.639999,54.150002,54.349998,52.963696,10676000
2020-01-09,55.000000,55.400002,54.840000,55.340000,53.928444,15398000
2020-01-10,55.480000,55.930000,55.450001,55.529999,54.113598,13040100
2020-01-13,55.529999,56.230000,55.419998,56.130001,54.698299,14302900
2020-01-14,56.240002,56.290001,55.830002,56.000000,54.571609,16345300
2020-01-15,56.000000,56.980000,56.000000,56.700001,55.253757,17735400
2020-01-16,56.849998,56.950001,56.610001,56.820000,55.370693,10234100
2020-01-17,56.869999,57.150002,56.799999,56.939999,55.487637,14264300
2020-01-21,56.849998,57.250000,56.570000,57.169998,55.711769,11968900
2020-01-22,57.250000,57.639999,57.180000,57.610001,56.140545,12869600
2020-01-23,57.380001,57.849998,57.240002,57.830002,56.354935,12858900
2020-01-24,57.849998,57.869999,57.459999,57.680000,56.208755,8594300
2020-01-27,57.209999,57.849998,57.130001,57.480000,56.013859,14359900
2020-01-28,57.450001,57.750000,56.970001,57.009998,55.555847,15240200
2020-01-29,57.000000,57.259998,56.660000,57.009998,55.555847,13163600
2020-01-30,57.930000,58.980000,57.759998,58.860001,57.358662,20225600
2020-01-31,58.970001,59.080002,58.150002,58.400002,56.910400,17685200
2020-02-03,58.750000,58.970001,58.520000,58.580002,57.085804,12336800
2020-02-04,58.750000,59.450001,58.619999,58.840000,57.339172,15417900
2020-02-05,58.900002,59.080002,58.540001,58.849998,57.348915,11414900
2020-02-06,58.980000,59.340000,58.840000,58.990002,57.485352,9347000
2020-02-07,58.880001,59.320000,58.849998,59.189999,57.680244,8757800
2020-02-10,59.320000,59.840000,59.290001,59.750000,58.225960,7984900
2020-02-11,59.720001,59.799999,59.320000,59.590000,58.070045,7431200
2020-02-12,59.480000,59.770000,59.320000,59.410000,57.894634,9179100
2020-02-13,59.380001,59.840000,59.209999,59.610001,58.089531,8173200
2020-02-14,59.630001,60.070000,59.619999,59.950001,58.420860,9965500
2020-02-18,59.810001,59.930000,59.450001,59.529999,58.011570,10075700
2020-02-19,59.509998,60.000000,59.470001,59.770000,58.245453,6265700
2020-02-20,59.680000,59.860001,59.110001,59.720001,58.196728,7597200
2020-02-21,59.509998,60.130001,59.430000,60.130001,58.596268,10842400
2020-02-24,59.110001,59.799999,58.570000,58.650002,57.154022,14415500
2020-02-25,58.700001,59.200001,57.619999,57.820000,56.345188,15915100
2020-02-26,57.980000,58.470001,57.480000,57.599998,56.130802,15837800
2020-02-27,57.150002,57.889999,54.880001,54.930000,53.528904,23754000
2020-02-28,53.830002,53.889999,51.580002,53.490002,52.125637,40891800
2020-03-02,53.930000,55.959999,53.700001,55.919998,54.493652,25698600
2020-03-03,56.759998,57.490002,55.639999,56.060001,54.630085,27099200
2020-03-04,56.410000,59.000000,56.410000,58.919998,57.417126,20526100
2020-03-05,57.799999,58.169998,56.189999,56.740002,55.292740,17948500
2020-03-06,54.939999,55.910000,53.980000,55.259998,53.850487,22353900
2020-03-09,52.049999,53.580002,51.480000,51.860001,50.537209,27898300
2020-03-10,53.220001,53.799999,51.169998,53.660000,52.291298,27457400
2020-03-11,52.349998,52.650002,51.139999,52.209999,50.878284,22653900
2020-03-12,48.540001,49.930000,46.689999,47.160000,45.957092,31913100
2020-03-13,49.509998,49.560001,46.610001,48.470001,47.647919,33697200
2020-03-16,42.240002,47.880001,41.169998,45.259998,44.492363,28682300
2020-03-17,45.880001,47.500000,45.369999,47.180000,46.379799,32106700
2020-03-18,44.740002,45.150002,41.590000,44.849998,44.089317,35408300
2020-03-19,44.360001,44.660000,41.040001,41.830002,41.120544,41956900
2020-03-20,41.950001,42.070000,37.509998,38.299999,37.650410,51513500
2020-03-23,38.759998,38.889999,36.270000,37.560001,36.922962,44978500
2020-03-24,41.220001,41.400002,38.830002,39.450001,38.780907,49096200
